Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
1916,1790243338992.236519,100,79.9967651367188,100
1917,1790243339032.261819,100,79.9967651367188,100
1918,1790243339072.185619,100,79.9967651367188,100
1919,1790243339112.175919,100,79.9967651367188,100
1920,1790243339152.179419,100,79.9967651367188,100
1921,1790243339192.194819,100,79.9967651367188,100
1922,1790243339232.258419,100,79.9967651367188,100
1923,1790243339272.256919,100,79.9967651367188,100
1924,1790243339312.181419,100,79.9967651367188,100
1925,1790243339352.181519,100,79.9967651367188,100
1926,1790243339392.191019,100,79.9967651367188,100
1927,1790243339432.222419,100,79.9967651367188,100
1928,1790243339472.167219,100,79.9967651367188,100
1929,1790243339512.225919,100,79.9967651367188,100
1930,1790243339552.157419,100,79.9967651367188,100
1931,1790243339592.208219,100,79.9967651367188,100
1932,1790243339632.163119,100,79.9967651367188,100
1933,1790243339672.201919,100,79.9967651367188,100
1934,1790243339712.140119,100,79.9967651367188,100
1935,1790243339752.121119,100,79.9967651367188,100
1936,1790243339792.150919,100,79.9967651367188,100
1937,1790243339832.131419,100,79.9967651367188,100
1938,1790243339872.153119,100,79.9967651367188,100
1939,1790243339912.213719,100,79.9967651367188,100
1940,1790243339952.139719,100,79.9967651367188,100
1941,1790243339992.139719,100,79.9967651367188,100
1942,1790243340032.173719,100,79.9967651367188,100
1943,1790243340072.129219,100,79.9967651367188,100
1944,1790243340112.159619,100,79.9967651367188,100
1945,1790243340152.126519,100,79.9967651367188,100
1946,1790243340192.178219,100,79.9967651367188,100
1947,1790243340232.101819,100,79.9967651367188,100
1948,1790243340272.116919,100,79.9967651367188,100
1949,1790243340312.086619,100,79.9967651367188,100
1950,1790243340352.102219,100,79.9967651367188,100
1951,1790243340392.128019,100,79.9967651367188,100
1952,1790243340432.134719,100,79.9967651367188,100
1953,1790243340472.137919,100,79.9967651367188,100
1954,1790243340512.105019,100,79.9967651367188,100
1955,1790243340552.093619,100,79.9967651367188,100
1956,1790243340592.100619,100,79.9967651367188,100
1957,1790243340632.077719,100,79.9967651367188,100
1958,1790243340672.124519,100,79.9967651367188,100
1959,1790243340712.093219,100,79.9967651367188,100
1960,1790243340752.056719,100,79.9967651367188,100
1961,1790243340792.094619,100,79.9967651367188,100
1962,1790243340832.068519,100,79.9967651367188,100
1963,1790243340872.123119,100,79.9967651367188,100
1964,1790243340912.083619,100,79.9967651367188,100
1965,1790243340952.059319,100,79.9967651367188,100
1966,1790243340992.093119,100,79.9967651367188,100
1967,1790243341032.059019,100,79.9967651367188,100
1968,1790243341072.052719,100,79.9967651367188,100
1969,1790243341112.110819,100,79.9967651367188,100
1970,1790243341152.065419,100,79.9967651367188,100
1971,1790243341192.097019,100,79.9967651367188,100
1972,1790243341232.047419,100,79.9967651367188,100
1973,1790243341272.037319,100,79.9967651367188,100
1974,1790243341312.045519,100,79.9967651367188,100
1975,1790243341352.046219,100,79.9967651367188,100
1976,1790243341392.034319,100,79.9967651367188,100
1977,1790243341432.059119,100,79.9967651367188,100
1978,1790243341472.032419,100,79.9967651367188,100
1979,1790243341512.044919,100,79.9967651367188,100
1980,1790243341552.011019,100,79.9967651367188,100
1981,1790243341592.010519,100,79.9967651367188,100
1982,1790243341631.998319,100,79.9967651367188,100
1983,1790243341672.015219,100,79.9967651367188,100
1984,1790243341712.015719,100,79.9967651367188,100
1985,1790243341752.166119,100,79.9967651367188,100
1986,1790243341792.053419,100,79.9967651367188,100
1987,1790243341832.015819,100,79.9967651367188,100
1988,1790243341872.034419,100,79.9967651367188,100
1989,1790243341912.044319,100,79.9967651367188,100
1990,1790243341952.007919,100,79.9967651367188,100
1991,1790243341992.005719,100,79.9967651367188,100
1992,1790243342031.990519,100,79.9967651367188,100
1993,1790243342071.985319,100,79.9967651367188,100
1994,1790243342112.011619,100,79.9967651367188,100
1995,1790243342151.999219,100,79.9967651367188,100
1996,1790243342192.168219,100,79.9967651367188,100
1997,1790243342232.142819,100,79.9967651367188,100
