Sample,X(ms) [22.09.2026 22:44:17 863 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
638,1790117073062.179689,100.003204345703,79.9993591308594,100
639,1790117073102.188789,100.003204345703,79.9993591308594,100
640,1790117073142.165889,100.003204345703,79.9993591308594,100
641,1790117073182.186889,100.003204345703,79.9993591308594,100
642,1790117073222.191789,100.003204345703,79.9993591308594,100
643,1790117073262.165489,100.003204345703,79.9993591308594,100
644,1790117073302.156289,100.003204345703,79.9993591308594,100
645,1790117073342.164589,100.003204345703,79.9993591308594,100
646,1790117073382.167789,100.003204345703,79.9993591308594,100
647,1790117073422.142889,100.003204345703,79.9993591308594,100
648,1790117073462.161089,100.003204345703,79.9993591308594,100
649,1790117073502.150089,100.003204345703,79.9993591308594,100
650,1790117073542.149889,100.003204345703,79.9993591308594,100
651,1790117073582.152489,100.003204345703,79.9993591308594,100
652,1790117073622.128089,100.003204345703,79.9993591308594,100
653,1790117073662.132389,100.003204345703,79.9993591308594,100
654,1790117073702.130689,100.003204345703,79.9993591308594,100
655,1790117073742.121189,100.003204345703,79.9993591308594,100
656,1790117073782.122789,100.003204345703,79.9993591308594,100
657,1790117073822.109489,100.003204345703,79.9993591308594,100
658,1790117073862.110089,100.003204345703,79.9993591308594,100
659,1790117073902.113289,100.003204345703,79.9993591308594,100
660,1790117073942.113889,100.003204345703,79.9993591308594,100
661,1790117073982.118389,100.003204345703,79.9993591308594,100
662,1790117074022.094189,100.003204345703,79.9993591308594,100
663,1790117074062.084289,100.003204345703,79.9993591308594,100
664,1790117074102.105189,100.003204345703,79.9993591308594,100
665,1790117074142.094589,100.003204345703,79.9993591308594,100
666,1790117074182.092389,100.003204345703,79.9993591308594,100
667,1790117074222.095789,100.003204345703,79.9993591308594,100
668,1790117074262.074289,100.003204345703,79.9993591308594,100
669,1790117074302.082489,100.003204345703,79.9993591308594,100
670,1790117074342.072489,100.003204345703,79.9993591308594,100
671,1790117074382.073789,100.003204345703,79.9993591308594,100
672,1790117074422.066089,100.003204345703,79.9993591308594,100
673,1790117074462.055289,100.003204345703,79.9993591308594,100
674,1790117074502.064389,100.003204345703,79.9993591308594,100
675,1790117074542.044389,100.003204345703,79.9993591308594,100
676,1790117074582.057789,100.003204345703,79.9993591308594,100
677,1790117074622.041489,100.003204345703,79.9993591308594,100
678,1790117074662.041489,100.003204345703,79.9993591308594,100
679,1790117074702.043289,100.003204345703,79.9993591308594,100
