Sample,X(ms) [24.09.2026 09:59:16 693 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
310,1790243963892.705472,0,0,0
311,1790243963932.728572,0,0,0
312,1790243963972.650372,0,0,0
313,1790243964012.719072,0,0,0
314,1790243964052.689472,0,0,0
315,1790243964092.790072,0,0,0
316,1790243964132.683672,0,0,0
317,1790243964172.648272,0,0,0
318,1790243964212.739272,0,0,0
319,1790243964252.644772,0,0,0
320,1790243964293.405372,0,0,0
321,1790243964332.775972,0,0,0
322,1790243964372.665372,0,0,0
323,1790243964412.648272,0,0,0
324,1790243964452.676072,0,0,0
325,1790243964492.796972,0,0,0
326,1790243964532.778672,0,0,0
327,1790243964572.736972,0,0,0
328,1790243964612.656972,0,0,0
329,1790243964652.616772,0,0,0
330,1790243964692.672372,0,0,0
331,1790243964732.632872,0,0,0
332,1790243964772.635072,125,0,500
333,1790243964812.628072,125,12.4825000762939,500
334,1790243964852.614972,125,23.406810760498,500
335,1790243964892.772272,125,32.9674377441406,500
336,1790243964933.354472,125,41.3346099853516,500
337,1790243964972.686772,125,48.6573104858398,500
338,1790243965012.634372,125,55.06591796875,500
339,1790243965052.587872,125,60.6745376586914,500
340,1790243965092.716772,125,65.5830383300781,500
341,1790243965132.604472,125,69.8788070678711,500
342,1790243965172.603872,125,73.6383361816406,500
343,1790243965212.587272,125,76.9285583496094,500
344,1790243965252.604972,125,79.8080673217773,500
345,1790243965293.142872,125,82.328125,500
346,1790243965332.782372,125,84.5335998535156,500
347,1790243965372.609172,125,86.4637680053711,500
348,1790243965412.649272,125,88.1529922485352,500
349,1790243965452.579772,125,89.6313552856445,500
350,1790243965492.650872,125,90.9251708984375,500
351,1790243965532.564972,125,92.0574798583984,500
352,1790243965572.620872,125,93.0484390258789,500
353,1790243965612.820072,125,93.9157028198242,500
354,1790243965652.711172,125,94.6747055053711,500
355,1790243965692.584772,125,95.3389587402344,500
356,1790243965732.599172,125,95.920295715332,500
357,1790243965772.567672,125,96.4290618896484,500
358,1790243965812.551972,125,96.8743209838867,500
359,1790243965852.667972,125,97.2639999389648,500
360,1790243965892.629072,125,97.6050338745117,500
361,1790243965932.575072,125,97.9034957885742,500
362,1790243965972.571972,125,98.1647033691406,500
363,1790243966012.576672,125,98.3933029174805,500
364,1790243966052.593472,125,98.5933609008789,500
365,1790243966092.605672,125,98.7684478759766,500
366,1790243966132.610472,125,98.9216766357422,500
367,1790243966172.631872,125,99.055778503418,500
368,1790243966212.570572,125,99.1731414794922,500
369,1790243966252.561572,125,99.2758560180664,500
370,1790243966292.562372,125,99.3657455444336,500
371,1790243966332.551972,125,99.4444198608398,500
372,1790243966372.542372,125,99.5132675170898,500
373,1790243966412.550772,125,99.5735244750977,500
374,1790243966452.539472,125,99.6262588500977,500
375,1790243966492.638372,125,99.6724090576172,500
376,1790243966532.529272,125,99.7127990722656,500
377,1790243966572.672172,125,99.7481460571289,500
378,1790243966612.545372,125,99.7790832519531,500
379,1790243966652.513172,125,99.8061599731445,500
380,1790243966692.928672,125,99.8298568725586,500
381,1790243966732.526472,125,99.8505935668945,500
382,1790243966772.512372,125,99.8687438964844,500
383,1790243966812.588272,125,99.8846282958984,500
384,1790243966853.182772,125,99.8985290527344,500
385,1790243966892.525072,125,99.9106903076172,500
386,1790243966932.549472,125,99.9213333129883,500
387,1790243966972.569372,125,99.9306488037109,500
388,1790243967012.509372,125,99.9388046264648,500
389,1790243967052.510472,125,99.9459381103516,500
390,1790243967092.714772,125,99.9521865844727,500
391,1790243967132.518672,125,99.957649230957,500
392,1790243967172.716972,125,99.9624328613281,500
393,1790243967212.573972,125,99.9666213989258,500
394,1790243967252.473172,125,99.9702835083008,500
395,1790243967292.587972,125,99.9734878540039,500
396,1790243967332.476472,125,99.9762954711914,500
397,1790243967372.457372,125,99.9787521362305,500
398,1790243967412.466672,125,99.9809036254883,500
399,1790243967452.495872,125,99.9827880859375,500
400,1790243967492.575772,125,99.9844360351563,500
401,1790243967532.469972,125,99.9858779907227,500
402,1790243967572.592672,125,99.9871368408203,500
403,1790243967612.464072,125,99.9882431030273,500
404,1790243967652.439972,125,99.9892044067383,500
405,1790243967692.496872,125,99.9900512695313,500
406,1790243967732.553272,125,99.9907913208008,500
407,1790243967772.940272,125,99.9914398193359,500
408,1790243967812.496772,125,99.9920043945313,500
