Sample,X(ms) [22.09.2026 22:05:40 989 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]"
350,1790114746949.080243,100.003204345703,79.9993591308594
351,1790114746989.078943,100.003204345703,79.9993591308594
352,1790114747029.063243,100.003204345703,79.9993591308594
353,1790114747069.072443,100.003204345703,79.9993591308594
354,1790114747109.071743,100.003204345703,79.9993591308594
355,1790114747149.060843,100.003204345703,79.9993591308594
356,1790114747189.062943,100.003204345703,79.9993591308594
357,1790114747229.060643,100.003204345703,79.9993591308594
358,1790114747269.043043,100.003204345703,79.9993591308594
359,1790114747309.061943,100.003204345703,79.9993591308594
360,1790114747349.061143,100.003204345703,79.9993591308594
361,1790114747389.035543,100.003204345703,79.9993591308594
362,1790114747429.039543,100.003204345703,79.9993591308594
363,1790114747469.039943,100.003204345703,79.9993591308594
364,1790114747509.035143,100.003204345703,79.9993591308594
365,1790114747549.018243,100.003204345703,79.9993591308594
366,1790114747589.019243,100.003204345703,79.9993591308594
367,1790114747629.045043,100.003204345703,79.9993591308594
368,1790114747669.030043,100.003204345703,79.9993591308594
369,1790114747709.026343,100.003204345703,79.9993591308594
370,1790114747749.013443,100.003204345703,79.9993591308594
371,1790114747789.003343,100.003204345703,79.9993591308594
372,1790114747829.014843,100.003204345703,79.9993591308594
373,1790114747869.004743,100.003204345703,79.9993591308594
374,1790114747908.994143,100.003204345703,79.9993591308594
375,1790114747949.010343,100.003204345703,79.9993591308594
376,1790114747988.993643,100.003204345703,79.9993591308594
377,1790114748028.990043,100.003204345703,79.9993591308594
378,1790114748068.996143,100.003204345703,79.9993591308594
379,1790114748109.000343,100.003204345703,79.9993591308594
380,1790114748148.982243,100.003204345703,79.9993591308594
381,1790114748188.986543,100.003204345703,79.9993591308594
382,1790114748228.974943,100.003204345703,79.9993591308594
383,1790114748268.988743,100.003204345703,79.9993591308594
384,1790114748308.980143,100.003204345703,79.9993591308594
385,1790114748348.949043,100.003204345703,79.9993591308594
386,1790114748388.956343,100.003204345703,79.9993591308594
387,1790114748428.960643,100.003204345703,79.9993591308594
388,1790114748468.962343,100.003204345703,79.9993591308594
389,1790114748508.950243,100.003204345703,79.9993591308594
390,1790114748548.951243,100.003204345703,79.9993591308594
391,1790114748588.950443,100.003204345703,79.9993591308594
392,1790114748628.934143,100.003204345703,79.9993591308594
393,1790114748668.938043,100.003204345703,79.9993591308594
394,1790114748708.927043,100.003204345703,79.9993591308594
395,1790114748748.917043,100.003204345703,79.9993591308594
396,1790114748788.932043,100.003204345703,79.9993591308594
397,1790114748828.932543,100.003204345703,79.9993591308594
398,1790114748868.918243,100.003204345703,79.9993591308594
399,1790114748908.902843,100.003204345703,79.9993591308594
400,1790114748948.912843,100.003204345703,79.9993591308594
401,1790114748988.919143,100.003204345703,79.9993591308594
402,1790114749028.908243,100.003204345703,79.9993591308594
403,1790114749068.912143,100.003204345703,79.9993591308594
404,1790114749108.894043,100.003204345703,79.9993591308594
405,1790114749148.917243,100.003204345703,79.9993591308594
406,1790114749188.891843,100.003204345703,79.9993591308594
407,1790114749228.878643,100.003204345703,79.9993591308594
408,1790114749268.877943,100.003204345703,79.9993591308594
409,1790114749308.895743,100.003204345703,79.9993591308594
410,1790114749348.876143,100.003204345703,79.9993591308594
411,1790114749388.879743,100.003204345703,79.9993591308594
412,1790114749428.868843,100.003204345703,79.9993591308594
413,1790114749468.878243,100.003204345703,79.9993591308594
414,1790114749508.880043,100.003204345703,79.9993591308594
415,1790114749548.853143,100.003204345703,79.9993591308594
416,1790114749588.861543,100.003204345703,79.9993591308594
417,1790114749628.851943,100.003204345703,79.9993591308594
418,1790114749668.836443,100.003204345703,79.9993591308594
419,1790114749708.841343,100.003204345703,79.9993591308594
420,1790114749748.845343,100.003204345703,79.9993591308594
421,1790114749788.844543,100.003204345703,79.9993591308594
422,1790114749828.834743,100.003204345703,79.9993591308594
423,1790114749868.853443,100.003204345703,79.9993591308594
424,1790114749908.834343,100.003204345703,79.9993591308594
425,1790114749948.832543,100.003204345703,79.9993591308594
426,1790114749988.838743,100.003204345703,79.9993591308594
427,1790114750028.809843,100.003204345703,79.9993591308594
428,1790114750068.822143,100.003204345703,79.9993591308594
429,1790114750108.827643,100.003204345703,79.9993591308594
430,1790114750148.812943,100.003204345703,79.9993591308594
431,1790114750188.814643,100.003204345703,79.9993591308594
432,1790114750228.801443,100.003204345703,79.9993591308594
433,1790114750268.815043,100.003204345703,79.9993591308594
434,1790114750308.793943,100.003204345703,79.9993591308594
435,1790114750348.795043,100.003204345703,79.9993591308594
436,1790114750388.798543,100.003204345703,79.9993591308594
437,1790114750428.792643,100.003204345703,79.9993591308594
438,1790114750468.782143,100.003204345703,79.9993591308594
439,1790114750508.770543,100.003204345703,79.9993591308594
440,1790114750548.770043,100.003204345703,79.9993591308594
441,1790114750588.775943,100.003204345703,79.9993591308594
442,1790114750628.773843,100.003204345703,79.9993591308594
443,1790114750668.765043,100.003204345703,79.9993591308594
444,1790114750708.780143,100.003204345703,79.9993591308594
445,1790114750748.773643,100.003204345703,79.9993591308594
446,1790114750788.750543,100.003204345703,79.9993591308594
447,1790114750828.763643,100.003204345703,79.9993591308594
448,1790114750868.748143,100.003204345703,79.9993591308594
449,1790114750908.740843,100.003204345703,79.9993591308594
450,1790114750948.744143,100.003204345703,79.9993591308594
451,1790114750988.745943,100.003204345703,79.9993591308594
452,1790114751028.731343,100.003204345703,79.9993591308594
453,1790114751068.735643,100.003204345703,79.9993591308594
454,1790114751108.742643,100.003204345703,79.9993591308594
455,1790114751148.716543,100.003204345703,79.9993591308594
456,1790114751188.735843,100.003204345703,79.9993591308594
457,1790114751228.717343,100.003204345703,79.9993591308594
458,1790114751268.714843,100.003204345703,79.9993591308594
459,1790114751308.712743,100.003204345703,79.9993591308594
460,1790114751348.705443,100.003204345703,79.9993591308594
461,1790114751388.709243,100.003204345703,79.9993591308594
462,1790114751428.703643,100.003204345703,79.9993591308594
463,1790114751468.700843,100.003204345703,79.9993591308594
464,1790114751508.702743,100.003204345703,79.9993591308594
465,1790114751548.701843,100.003204345703,79.9993591308594
466,1790114751588.684043,100.003204345703,79.9993591308594
467,1790114751628.694843,100.003204345703,79.9993591308594
468,1790114751668.682143,100.003204345703,79.9993591308594
